Name,Price,Delivery_Charge,URL
,,,
,,,
,,,
Gaming 3i 15IMH I5 LEGEND PRO DOS/게이밍/최종 65만 ,"769,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=1803038910
V15 ADA AMD 라이젠5 R5한정34만 RAM무상업 82C700KMKR ,"409,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2306485116
K3500PC-L1154 중복8만+카드7%|최종99만|OLED|RTX3050 ,"1,149,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2302027861
255 G8-46U34PC 특가55만 R5/8GB/256GB 가성비 노트북 ,"631,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2123879338
빅터스 16-d1134TX 특가139만 RTX3050Ti 게이밍노트북 ,"1,599,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2355424417
,,,
,,,
SLIM5-15ITL Premiere i5 Plus FreeDos 74만인텔포커스 ,"849,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2058433268
,,,
노트북 플러스2 NT550XDA-K14A 화이트 최종45만 Win11 ,"529,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2070230164
V15 ADA AMD 라이젠3 R3한정31만 RAM무상업 82C700KPKR ,"379,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2166630876
갤럭시북 S NT767XCL-KLTE 최종 87만 대학생노트북 ,"949,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=1833695807
,,,
NT501R5L I5-6200U/8G/SSD128G/HD520/15.6 FHD/WIN10 ,"298,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=1925274199
,,,
255 G8-46U33PC 특가48만 R3/4GB/256GB/가성비 노트북 ,"549,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2123873456
노트북 플러스2 NT550XDA-K14A 그레이 최종45만 Win11 ,"529,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2070234898
,,,
젠북 OLED UX325EA-KG354 특가91만 i7/16GB/512GB ,"1,049,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2090267695
,,,
노트북 플러스2 NT550XDA-K24A 윈11 인강용 최종49만 ,"599,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2088482202
파빌리온 15-eh1051AU 특가62만 라이젠R3 가성비노트북 ,"727,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2260927086
울트라PC 14U390-ME1TK 기본모델 학생가성비노트북 CNI ,"415,690",무료배송,http://item.gmarket.co.kr/Item?goodscode=2393452981
게이밍 FX517ZR-HQ009 특가186만 RTX3070/인텔12세대i7 ,"2,049,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2379358322
,,,
,,,
,,,
,,,
LG노트북 15UD40Q-GX30K WIN10 무선마우스+패드 ,"625,050",무료배송,http://item.gmarket.co.kr/Item?goodscode=2327039596
ASUS TUF FX706HCB-HX144/RTX3050/16GB/512GB/17형 ,"1,139,990",무료배송,http://item.gmarket.co.kr/Item?goodscode=2369791299
,,,
X513EA-BQ031 중복7만+카드7%|최종52만|11세대 i5 ,"639,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=1945334375
Victus 16-e0143AX 노트북 최종95만/한컴/R7/RTX3050Ti ,"1,129,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2178151838
ASUS 노트북 M513UA-L1284 최종60만/삼성OLED/R5-5500U ,"699,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2233485349
,,,
,,,
,,,
,,,
ASUS M7600QE-L2041 137만/R9-5900HX/16G/512G/3050Ti ,"1,549,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2253637228
,,,
,,,
,,,
,,,
,,,
,,,
,,,
갤럭시북2 프로 NT950XEE-X71A 203만 게이밍 노트북 ,"2,249,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2384615147
,,,
,,,
,,,
,,,
Gaming 3i 15IMH I5 LEGEND PRO 1650TI 특가71만 ,"769,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=1984188076
노트북 플러스2 NT550XDZ-AD5A 가성비 노트북 최종61만 ,"749,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2245578579
